year,state,sfip,pop_wm65o,pop_wmU20,pop_wmWA,pop_wf65o,pop_wfU20,pop_wfWA,pop_bm65o,pop_bmU20,pop_bmWA,pop_bf65o,pop_bfU20,pop_bfWA,pop_nm65o,pop_nmU20,pop_nmWA,pop_nf65o,pop_nfU20,pop_nfWA,population
2009,DC,11,10698,18092,94565,12193,18495,93144,15866,41862,87038,27283,42277,103652,707,2126,9446,1053,2397,11334,592228
2009,DE,10,47375,79010,192095,60313,76132,197680,6775,34571,53934,9607,33771,63117,1200,5411,11564,1481,5414,12280,891730
2009,FL,12,1297727,1686777,4328317,1604737,1599409,4377224,104153,537827,867118,148848,520365,955177,21957,85401,189078,28293,83868,216368,18652644
2009,GA,13,336192,847003,1907687,439771,800973,1872554,79521,510566,828610,129772,499948,974592,9666,60796,123049,11735,57948,130463,9620846
2009,HI,15,23824,27659,127242,24426,25850,103612,695,6142,12709,500,5608,7642,59207,139880,276284,81727,132454,291256,1346717
2009,IA,19,187939,384026,837673,254294,365231,827293,2003,24418,28217,2601,22814,23992,1397,11891,22567,1892,12023,22599,3032870
2009,ID,16,85667,228908,429669,100375,217696,422850,195,3787,4467,171,3591,2843,1442,9459,15447,1873,9381,16618,1554439
2009,IL,17,572905,1360318,3075826,783359,1292398,3038932,70063,334929,515052,111030,325881,603871,24380,99096,223486,30269,97142,237841,12796778
2009,IN,18,329441,784106,1688646,445212,745476,1688883,19445,119675,166512,29455,115546,184601,3108,22189,44726,4087,22346,45871,6459325
2009,KS,20,151312,356506,742237,201045,338098,735899,5447,37910,54411,8017,35654,50619,2762,19170,34810,3520,18928,36359,2832704
2009,KY,21,231008,512512,1169217,307658,487279,1181824,10947,63313,103806,17161,60205,103796,1604,10353,21178,2160,10684,22369,4317074
2009,LA,22,180360,369885,891141,236671,352909,879543,49178,251154,398738,75497,244815,449606,3344,16484,36165,4092,16021,36045,4491648
2009,MA,25,343287,681708,1676067,483707,651906,1745011,14921,91898,148635,23173,88132,163750,12105,56771,126362,14493,57721,137966,6517613
2009,MD,24,220214,449230,1097156,293074,426719,1101428,59199,274147,489064,91803,266085,584346,13960,51953,115464,16733,50750,129063,5730388
2009,ME,23,89582,152868,385913,115994,144028,396459,341,5101,5342,308,4643,3717,589,4016,7144,856,4393,8296,1329590
2009,MI,26,514323,1058208,2410826,674307,1004929,2410750,52593,258938,392806,80367,249416,446981,9998,55981,103580,12035,54872,110681,9901591
2009,MN,27,281801,608494,1426826,366502,579928,1409390,4544,66959,83755,6019,63547,79926,5841,58059,84966,7782,56786,90078,5281203
2009,MO,29,326847,667989,1504714,430035,635334,1516468,23201,129734,193447,37396,125208,219201,4221,22816,46098,5276,22897,50206,5961088
2009,MS,28,120499,233974,537305,161185,221749,528554,35654,193676,292962,55902,189068,341459,1123,7458,14123,1605,7272,15206,2958774
2009,MT,30,64351,112415,275581,74780,105791,267702,122,1798,2196,97,1548,1156,1937,15263,20197,2640,14930,21478,983982
2009,NC,37,427908,897761,2092316,566062,849261,2106210,73045,345362,578665,117880,334893,675213,9404,63286,115318,12351,61904,122727,9449566
2009,ND,38,40867,76133,189958,53374,72014,176667,81,2383,3277,80,2069,2104,900,9296,12399,1270,8994,13102,664968
2009,NE,31,101434,229754,489602,134468,219315,481742,2329,19830,25714,3164,18618,24741,1141,11578,17682,1596,11277,18698,1812683
2009,NH,33,76155,159291,385983,96597,151762,391196,390,4174,6115,378,3908,4565,813,5442,10864,936,5549,11984,1316102
2009,NJ,34,413547,852472,1972717,580657,804569,1992026,45624,210968,367253,73872,203884,421931,27499,114427,257589,32422,110884,273261,8755602
2009,NM,35,110216,238067,504035,133671,228058,511752,1873,10758,17506,2117,10049,13973,7542,45222,70345,10798,44678,76142,2036802
2009,NV,32,128894,294146,673955,141203,279040,631470,8717,44759,73465,10598,42398,71489,10875,38896,83340,14936,37507,98977,2684665
2009,NY,36,880884,1752921,4244473,1226319,1665638,4302003,125739,538660,957031,215728,523100,1138493,64131,225409,551198,79409,216525,599405,19307066
2009,OH,39,615122,1273864,2899680,837683,1213735,2935654,54497,267494,394527,83870,258850,442168,7416,36238,78040,9135,37284,83639,11528896
2009,OK,40,194153,384453,879963,251042,364613,872554,9171,58858,88076,13292,56552,88076,13826,86656,124382,18167,83469,130269,3717572
2009,OR,41,222339,439652,1052389,278181,417725,1052051,2359,18694,28033,2771,17475,22943,7398,39970,74557,9692,39373,82998,3808600
2009,PA,42,749612,1313591,3190879,1035386,1251507,3217226,50528,259739,403444,83837,249696,445037,12426,60610,129005,14859,61602,137874,12666858
2009,RI,44,58697,112190,275163,84891,107592,286626,1971,15839,23428,3042,15043,23997,1106,6955,13533,1413,7368,14792,1053646
2009,SC,45,215106,396753,954489,272392,377198,958838,48094,214232,358087,75476,209211,415464,2560,14068,29453,3304,13982,31165,4589872
2009,SD,46,48342,93817,212334,62673,88287,204079,152,3151,4237,147,2972,2086,1633,18728,21475,2396,18270,22288,807067
2009,TN,47,322587,650523,1524163,423817,617515,1548076,31633,185030,296349,51907,181692,341063,3339,19951,40675,4061,20060,43578,6306019
2009,TX,48,983339,3129131,6044929,1260651,2977987,5990853,87079,529702,880575,132016,509858,962063,36088,202152,408616,43572,194779,428371,24801761
2009,UT,49,106670,449959,721886,129047,430046,709416,546,10203,11896,611,9241,8162,2788,25463,38501,3732,24778,40476,2723421
2009,VA,51,337616,732561,1793367,437709,696769,1784203,57853,253857,463946,88365,247917,511843,15548,73898,159396,19830,71840,179419,7925937
2009,VT,50,38985,74347,184441,49438,70037,187493,143,1956,2417,149,1837,1870,270,1721,3409,330,1893,4081,624817
2009,WA,53,329761,737375,1752665,406944,699279,1718857,7296,59341,96422,8093,55545,79244,22323,107685,210638,32199,104662,239097,6667426
2009,WI,55,319687,651976,1549338,417633,619964,1516615,8432,80482,102380,12595,77454,107973,4049,39077,57740,5540,38905,59424,5669264
2009,WV,54,124586,211914,527019,162145,201996,531244,2570,11764,23380,4035,10630,18086,787,2307,6014,826,2257,6215,1847775
2009,WY,56,31152,72648,167435,35896,68073,156238,161,1571,2395,175,1367,1464,539,3900,6004,684,3896,6253,559851
2010,AK,02,21652,68391,178559,21406,64055,155844,577,6424,10259,682,6063,7745,4906,32667,48199,6351,30809,49393,713982
2010,AL,01,231826,429023,1014554,304608,407602,1015292,45574,205212,347134,72612,200792,410310,2683,15118,31889,3539,14707,33039,4785514
2010,AR,05,166865,312883,694912,212288,296750,694154,15097,81369,126121,23105,79725,142008,1832,12561,23085,2359,12360,24524,2921998
